id,name,text
60,Sweeping Tackle,This attack does 20 less damage for each damage counter on this Pokémon.
61,Vise Grip,
62,Water Gun,
63,Aqua Cannon,"During your next turn, this Pokémon can't attack."
65,Spiral Kick,
66,Hydro Kick,
67,Twisting Strike,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon."
68,Slightly Spicy,"Flip a coin. If heads, your opponent's Active Pokémon is now Burned."
69,Relentless Flames,Flip a coin until you get tails. This attack does 30 damage for each heads.
70,Increasing Spice,"Search your deck for a Basic Fire Energy card and attach it to this Pokémon. Then, shuffle your deck."
71,Playful Kick,
72,Raging Claws,This attack does 10 more damage for each damage counter on this Pokémon.
73,Bright Flame,Discard 2 Fire Energy from this Pokémon.
74,Stampede,
75,Concentrated Fire,Flip a coin for each Fire Energy attached to this Pokémon. This attack does 80 damage for each heads.
76,Gnaw,
77,Combustion,
78,Ember,Discard an Energy from this Pokémon.
79,Bubble Drain,Heal 30 damage from this Pokémon.
80,Hydro Pump,This attack does 20 more damage for each Water Energy attached to this Pokémon.
81,Surf,
82,Aqua Slash,"During your next turn, this Pokémon can't attack."
83,Stoke,"Search your deck for up to 2 Basic Fire Energy cards and attach them to this Pokémon. Then, shuffle your deck."
84,Fire Claws,
86,Flare,
87,Sharp Fang,
88,Fire Blast,Discard an Energy from this Pokémon.
89,Flame Cannon,Your opponent's Active Pokémon is now Burned.
90,Rest,This Pokémon is now Asleep. Heal 30 damage from it.
92,Jump,"Flip a coin. If heads, this attack does 10 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)"
93,Pound,
94,Kick,
96,Release Rage,This attack does 50 damage for each Tatsugiri in your discard pile.
97,Heavy Splash,
98,Magnetic Switch,Switch this Pokémon with 1 of your Benched Pokémon.
99,Electro Ball,
100,Lightning Ball,
101,Explosion,This Pokémon also does 90 damage to itself.
102,Mise en Place,"Search your deck for up to 2 Basic Water Energy cards and attach them to 1 of your Basic Pokémon. Then, shuffle your deck."
103,Curl Up,Put this Pokémon and all attached cards into your hand.
104,Linear Attack,This attack does 20 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
105,Static Shock,
107,Electro Paws,Discard all Energy from this Pokémon.
108,Thunder Shock,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed."
109,Head Bolt,
111,Lightning Laser,This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
112,Collect,Draw a card.
113,Glide,
114,Photon Blaster,"During your next turn, this Pokémon can't attack."
116,Pendulum Influence,"Flip a coin. If heads, choose an attack from 1 of your opponent's Pokémon in play and use it as this attack."
117,Psychic Sphere,
118,Skill Dive,This attack does 50 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
119,Thunder Blast,Discard a Lightning Energy from this Pokémon.
120,Miracle Force,This Pokémon recovers from all Special Conditions.
121,Energy Munch,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon."
122,Forced Sleep,Your opponent chooses 1 of their Benched Pokémon and switches it with their Active Pokémon. The new Active Pokémon is now Asleep.
123,Gentle Slap,
124,Joust,"Before doing damage, discard all Pokémon Tools from your opponent's Active Pokémon."
125,Psyshot,
126,Rear Kick,
127,Magical Shot,
128,Psychic,This attack does 20 more damage for each Energy attached to your opponent's Active Pokémon.
129,Springy,"During your opponent's next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."
130,Flop,
131,Enveloping Shadow,"Flip a coin. If heads, during your opponent's next turn, they can't play any Item cards from their hand."
132,Spinning Attack,
133,Gust,
134,Balloon Blast,This attack does 30 damage for each damage counter on this Pokémon.
136,Curse Spreading,Put 8 damage counters on your opponent's Pokémon in any way you like.
137,Pollen Shot,
138,Energy Crush,This attack does 50 damage for each Energy attached to all of your opponent's Pokémon.
139,Pulse Launcher,This Pokémon also does 30 damage to itself.
143,Yank Away,Choose 2 random cards from your opponent's hand. Your opponent reveals those cards and shuffles them into their deck.
144,Thunder,This Pokémon also does 20 damage to itself.
146,Zap Kick,
147,Moonblast,"During your opponent's next turn, the Defending Pokémon's attacks do 30 less damage (before applying Weakness and Resistance)."
149,Everyone Discharge,This attack does 20 more damage for each of your Benched Lightning Pokémon. This attack's damage isn't affected by Weakness.
150,Junk Hunt,Put an Item card from your discard pile into your hand.
152,Jolt,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed."
153,Everlasting Darkness,"During your opponent's next turn, they can't play any Item cards from their hand."
154,Poltergeist,Your opponent reveals their hand. This attack does 60 damage for each Trainer card you find there.
155,Magical Leaf,"Flip a coin. If heads, this attack does 30 more damage, and heal 30 damage from this Pokémon."
156,Second Bite,This attack does 10 more damage for each damage counter on your opponent's Active Pokémon.
157,Headbutt Bounce,
158,Dash Off,Switch this Pokémon with 1 of your Benched Pokémon.
159,Underworld Stroll,Your opponent reveals their hand. Choose a Supporter card you find there and put it on the bottom of their deck.
161,Graveyard Gamboling,This attack does 10 damage for each Psychic Pokémon in your discard pile.
162,Eye Strength,"During your opponent's next turn, the Defending Pokémon can't retreat."
164,Last Respects,This attack does 10 more damage for each Psychic Pokémon in your discard pile.
165,Monkey Beatdown,This Pokémon also does 10 damage to itself.
166,Raging Punch,This Pokémon also does 20 damage to itself.
167,Rage Fist,This attack does 70 damage for each Prize card your opponent has taken.
168,Dynamite Punch,This Pokémon also does 50 damage to itself.
169,Acu-Punch-Ture,"Choose 1 of your opponent's Active Pokémon's attacks. During your opponent's next turn, that Pokémon can't use that attack."
170,Kick Shot,"Flip a coin. If tails, this attack does nothing."
171,Feint,This attack's damage isn't affected by Resistance.
172,Punch,
173,Reckless Charge,This Pokémon also does 20 damage to itself.
174,Jab,
175,Low Kick,
176,Avenging Knuckle,"If any of your Fighting Pokémon were Knocked Out by damage from an attack during your opponent's last turn, this attack does 120 more damage."
177,Accelerating Stab,"During your next turn, this Pokémon can't use Accelerating Stab."
180,Chomp Chomp Bite,"Flip a coin until you get tails. For each heads, discard an Energy from your opponent's Active Pokémon."
181,Earthquake,This attack also does 30 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
182,Wing Attack,
183,Payback,"If your opponent has exactly 1 Prize card remaining, this attack does 90 more damage."
184,Corkscrew Punch,
185,Mud-Slap,
186,Skull Bash,
187,Sandstorm Spray,"Discard 2 Energy from this Pokémon. If you discarded any Energy in this way, your opponent shuffles their Active Pokémon and all attached cards into their deck."
188,Mega Kick,
189,Bedrock Breaker,Discard a Stadium in play.
190,Gigantic Tusks,This Pokémon also does 50 damage to itself.
192,Adrenaline Hammer,This Pokémon is now Confused.
193,Claw Slash,
194,Rampaging Fang,Discard 3 Energy from this Pokémon.
195,Wild Impact,"During your next turn, this Pokémon can't attack."
196,Super Poison Breath,Your opponent's Active Pokémon is now Poisoned.
197,Toxic Strike,Your opponent's Active Pokémon is now Poisoned.
198,Spit Poison,Your opponent's Active Pokémon is now Poisoned.
199,Venoshock,"If your opponent's Active Pokémon is Poisoned, this attack does 120 more damage."
201,Pierce,
202,Taunt,Switch in 1 of your opponent's Benched Pokémon to the Active Spot.
203,Doom Decree,"Flip 2 coins. If both of them are heads, your opponent's Active Pokémon is Knocked Out."
204,Beat,
205,Whap Down,
206,Nasty Plot,"Search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck."
207,Toxic Ripper,"Your opponent's Active Pokémon is now Poisoned. During Pokémon Checkup, put 6 damage counters on that Pokémon instead of 1."
208,Dark Cutter,
209,Double-Edged Slash,This Pokémon also does 30 damage to itself.
210,Hack At,
212,Darkness Fang,
213,Crunch,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon."
214,Continuous Spin,Flip a coin until you get tails. This attack does 50 damage for each heads.
215,Rolling Shell,"During your opponent's next turn, this Pokémon takes 50 less damage from attacks (after applying Weakness and Resistance)."
216,Wild Tackle,This Pokémon also does 30 damage to itself.
217,Knickknack Carrying,"Search your deck for up to 3 Pokémon Tool cards, reveal them, and put them into your hand. Then, shuffle your deck."
218,Clutch,"During your opponent's next turn, the Defending Pokémon can't retreat."
219,Poison Gas,Your opponent's Active Pokémon is now Poisoned.
220,Knock Away,"Flip a coin. If heads, this attack does 90 more damage."
222,Triple Laser,This attack does 30 damage to 3 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
223,Cybernetic Wheels,Switch this Pokémon with 1 of your Benched Pokémon.
225,Egg Rolling,Flip a coin until you get tails. This attack does 60 damage for each heads.
226,Happy Cyclone,Move all Energy from this Pokémon to 1 of your Benched Pokémon.
228,Flap,
229,Drag Off,Switch in 1 of your opponent's Benched Pokémon to the Active Spot. This attack does 30 damage to the new Active Pokémon.
230,Slashing Claw,
233,Speed Dive,
234,Tailspin Away,"During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon."
235,Power Blast,Discard an Energy from this Pokémon.
236,Expert Nurturer,"Search your deck for a card that evolves from 1 of your Pokémon and put it onto that Pokémon to evolve it. Then, shuffle your deck."
237,Hypnoblast,Your opponent's Active Pokémon is now Asleep.
239,Enhanced Fang,"If this Pokémon has a Pokémon Tool attached, this attack does 80 more damage."
240,Repelling Odor,Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)
242,Maddening Scent,This attack does 30 more damage for each of your opponent's Benched Pokémon.
243,Heavy Stomp,"Flip a coin. If tails, during your next turn, this Pokémon can't attack."
245,Leg Stomp,"Flip a coin. If tails, during your next turn, this Pokémon can't attack."
248,Whimsy Tackle,"Flip a coin. If tails, this attack does nothing."
250,Double Hit,Flip 2 coins. This attack does 30 damage for each heads.
251,Call for Family,"Search your deck for up to 2 Basic Pokémon and put them onto your Bench. Then, shuffle your deck."
252,Fly,"Flip a coin. If tails, this attack does nothing. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon."
254,Family Attack,This attack does 70 damage for each of your Maushold in play.
255,Touring,Draw 2 cards.
256,Speed Attack,
259,Nosedive,This Pokémon also does 20 damage to itself.
325,Mini Drain,Heal 10 damage from this Pokémon.
326,Super Singe,Your opponent's Active Pokémon is now Burned.
328,Aurora Gain,Heal 30 damage from this Pokémon.
329,Super Psy Bolt,
334,String Truss,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed."
335,Jet Headbutt,
337,Fire Mane,
338,Water Splash,"Flip a coin. If heads, this attack does 20 more damage."
340,Void Return,You may switch this Pokémon with 1 of your Benched Pokémon.
341,Energy Burst,This attack does 30 damage for each Energy attached to both Active Pokémon.
345,Dangerous Wave,"Flip 2 coins. If both of them are heads, this attack does 100 more damage."
346,Splashing Dodge,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon."
347,Flowery Zephyr,This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
348,Rollout,
349,Fluffy Breeze,This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
350,Leaf Drain,Heal 20 damage from this Pokémon.
351,Tropic Breeze,Move all Energy from this Pokémon to 1 of your Benched Pokémon.
354,Smashing Horn,This attack's damage isn't affected by Resistance.
355,Gather Sunlight,"Search your deck for up to 2 Basic Energy cards, reveal them, and put them into your hand. Then, shuffle your deck."
356,Seed Bomb,
357,Dig Claws,
359,Magic Whip,Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)
360,Entangling Trap,Shuffle each player's Active Pokémon and all attached cards into their deck. (You choose a new Active Pokémon first.)
362,Scratching Nails,"If your opponent's Active Pokémon already has any damage counters on it, this attack does 120 more damage."
363,Bind Down,"During your opponent's next turn, the Defending Pokémon can't retreat."
364,Hook,
365,Double Spin,Flip 2 coins. This attack does 10 damage for each heads.
366,Double Stab,Flip 2 coins. This attack does 30 damage for each heads.
367,Order a Raid,"Choose 1 of your Benched Combee and shuffle that Pokémon and all attached cards into your deck. If you can't shuffle a Combee into your deck, this attack does nothing."
369,Magnum Punch,
370,Wild Kick,"Flip a coin. If tails, this attack does nothing."
371,Assaulting Kick,"If this Pokémon evolved from Nymble during this turn, this attack does 100 more damage."
373,Blot,Heal 10 damage from this Pokémon.
374,Slight Splash,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon."
376,Absorb Life,Heal 30 damage from this Pokémon.
377,Dead Wood Detention,"During your opponent's next turn, attacks that the Defending Pokémon uses cost ColorlessColorless more."
379,Ball Roll,Flip a coin until you get tails. This attack does 30 damage for each heads.
380,Ride the Wind,"Flip a coin. If heads, switch this Pokémon with 1 of your Benched Pokémon."
381,Covetous Ivy,This attack does 60 damage to 1 of your opponent's Benched Pokémon for each Prize card your opponent has taken. (Don't apply Weakness and Resistance for Benched Pokémon.)
382,Forest Blast,
383,Spacing Out,"Flip a coin. If heads, heal 30 damage from this Pokémon."
385,Steady Firebreathing,
386,Hyper Voice,
387,Live Coal,
389,Revengeful Storm,"If you have more Prize cards remaining than your opponent, this attack does 100 more damage."
390,Berserker Tackle,This Pokémon also does 50 damage to itself.
391,Matching,"Search your deck for up to 2 Supporter cards, reveal them, and put them into your hand. Then, shuffle your deck."
392,Water Pulse,Your opponent's Active Pokémon is now Asleep.
396,Heat Dive,This Pokémon also does 10 damage to itself.
397,Blazing Destruction,Discard a Stadium in play.
399,Singe,Your opponent's Active Pokémon is now Burned.
400,Overrun,This attack also does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
401,Raging Horns,This attack does 10 more damage for each damage counter on this Pokémon.
402,Blaze Dash,Discard an Energy from this Pokémon.
403,Vitality Song,Heal 30 damage from each of your Pokémon.
404,Burning Voice,This attack does 10 less damage for each damage counter on this Pokémon.
405,Jealously Singe,Discard the top 2 cards of your opponent's deck.
406,Flame Surge,"Choose up to 3 of your Benched Pokémon. For each of those Pokémon, search your deck for a Basic Fire Energy card and attach it to that Pokémon. Then, shuffle your deck."
407,Expert Splasher,"Flip 2 coins. If both of them are heads, this attack does 20 more damage."
410,Slam,Flip 2 coins. This attack does 100 damage for each heads.
411,Double Draw,Draw 2 cards.
412,Ice Wing,
413,Exciting Dance,"Switch this Pokémon with 1 of your Benched Pokémon. If you do, switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)"
414,Spiral Shot,Put 2 Energy attached to this Pokémon into your hand.
416,Fiery Breeze,"If this Pokémon has any damage counters on it, this attack does 90 more damage."
421,Aqua Dive,This attack does 60 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
423,Frigid Block,"Discard all Energy from this Pokémon. During your opponent's next turn, this Pokémon takes 100 less damage from attacks (after applying Weakness and Resistance)."
424,Apply Gel,"During your opponent's next turn, if the Defending Pokémon tries to attack, your opponent flips a coin. If tails, that attack doesn't happen."
426,Double-Edge,This Pokémon also does 10 damage to itself.
428,Slim Screw,"If you have no cards in your hand, this attack can be used for Water."
429,Chilly,
431,Magnetic Charge,Attach up to 2 Basic Lightning Energy cards from your discard pile to 1 of your Benched Pokémon.
432,Speed Ball,
434,Frost Smash,
435,Pika Punch,
436,Dynamic Bolt,"Flip a coin. If tails, discard all Energy from this Pokémon."
437,Avalanche,This attack also does 10 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
438,Icicle Missile,
439,Special Horn,"If this Pokémon has any Special Energy attached, this attack does 140 more damage."
441,Buster Tail,
442,Hail Blade,You may discard any amount of Water Energy from your Pokémon. This attack does 60 damage for each card you discarded in this way.
443,Growl,"During your opponent's next turn, the Defending Pokémon's attacks do 20 less damage (before applying Weakness and Resistance)."
444,Pika Bolt,
445,Electrocharge,"Search your deck for up to 2 Basic Lightning Energy cards and attach them to this Pokémon. Then, shuffle your deck."
446,Thunderbolt,Discard all Energy from this Pokémon.
448,Thunder Wave,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed."
449,Devastating Wind,Your opponent shuffles their hand into their deck and draws 4 cards.
451,Fade Out,Put this Pokémon and all attached cards into your hand.
452,Psych Out,Discard a random card from your opponent's hand.
454,Boundless Power,"During your next turn, this Pokémon can't attack."
455,Play Rough,"Flip a coin. If heads, this attack does 30 more damage."
456,Pulverizing Press,This attack's damage isn't affected by any effects on your opponent's Active Pokémon.
458,Hang Down,
459,Stun Needle,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed."
460,Follow-Up Kerzap,You can use this attack only if this Pokémon used Stun Needle during your last turn.
463,Electrobullet,This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
464,Mach Bolt,
465,Electric Fist,This attack also does 60 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
468,Sing,Your opponent's Active Pokémon is now Asleep.
472,Mind Bend,Your opponent's Active Pokémon is now Confused.
474,Tail Swap,Move all damage counters from 1 of your Benched Pokémon to your opponent's Active Pokémon.
475,Wondrous Shot,Discard an Energy from this Pokémon.
476,Ghost Eye,Put 7 damage counters on your opponent's Active Pokémon.
478,Pummel,"Flip a coin. If heads, this attack does 60 more damage."
479,Hit and Hide,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon."
480,Elbow Strike,
482,Slap Push,
487,Jumping Press,This attack does 50 damage to 1 of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
488,Paralyzing Ball,You may discard 2 Lightning Energy from this Pokémon to make your opponent's Active Pokémon Paralyzed.
489,Peck,
490,Jet Wing,"During your next turn, this Pokémon can't attack."
491,Profound Knowledge,Your opponent's Active Pokémon is now Confused.
492,Wise Headbutt,"You may search your deck for up to 2 cards and put them into your hand. Then, shuffle your deck."
494,Eerie Wave,Your opponent's Active Pokémon is now Confused.
495,Plotter's Command,"Choose 1 of your opponent's Active Pokémon's attacks. During your opponent's next turn, that Pokémon can't use that attack."
497,Mumble,
498,Mud Shot,
499,Scrap Pickup,Put an Item card from your discard pile into your hand.
500,Fairy Wind,
501,Brutal Swing,"Flip a coin. If heads, this attack does 20 more damage."
502,Special Hammer,"If this Pokémon has any Special Energy attached, this attack does 90 more damage."
504,Combat Tackle,This Pokémon also does 30 damage to itself.
509,Wild Charge,This Pokémon also does 20 damage to itself.
510,Needle Crush,Discard an Energy from your opponent's Active Pokémon.
512,United Wings,This attack does 20 damage for each Pokémon in your discard pile that has the United Wings attack.
513,Tail-Fishing,"Flip a coin. If heads, search your deck for a card and put it into your hand. Then, shuffle your deck. If tails, discard a card from your hand."
514,Zen Headbutt,
516,Spooky Shot,
517,Earthen Power,"If you have a Stadium in play, this attack does 80 more damage."
518,Life Sucker,Heal 30 damage from this Pokémon.
519,Fighting Sword,"If your opponent's Active Pokémon is a Pokémon ex or Pokémon V, this attack does 100 more damage."
520,Revival Blessing,Put a Pokémon from your discard pile onto your Bench.
521,Psybeam,Your opponent's Active Pokémon is now Confused.
524,Rock Throw,
525,Scary Fangs,"During your opponent's next turn, if this Pokémon is damaged by an attack (even if it is Knocked Out), put 10 damage counters on the Attacking Pokémon."
528,Rocket Slap,
529,Poison Sting,Your opponent's Active Pokémon is now Poisoned.
531,Knuckle Claws,Your opponent's Active Pokémon is now Poisoned.
532,Make the Assist,Move an Energy from this Pokémon to 1 of your Benched Pokémon.
534,Reckless Charge Together,"If Falinks is on your Bench, this attack does 90 more damage."
536,Salt Coating,Heal 20 damage from 1 of your Pokémon.
538,Knocking Hammer,Discard the top card of your opponent's deck.
541,Spin Turn,Switch this Pokémon with 1 of your Benched Pokémon.
544,Dirty Throw,"Discard a card from your hand. If you can't, this attack does nothing."
546,Night Eyes,Your opponent's Active Pokémon is now Asleep.
547,Unseen Claw,"If your opponent's Active Pokémon is affected by a Special Condition, this attack does 70 more damage."
548,Find a Friend,"Search your deck for up to 2 Pokémon, reveal them, and put them into your hand. Then, shuffle your deck."
552,Nosequake,This attack also does 30 damage to each of your Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
553,Ascension,"Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck."
554,Poison Petals,"Your opponent's Active Pokémon is now Poisoned. During Pokémon Checkup, put 6 damage counters on that Pokémon instead of 1."
556,Cross-Cut,"If your opponent's Active Pokémon is an Evolution Pokémon, this attack does 50 more damage."
557,Ambush,"Flip a coin. If heads, this attack does 20 more damage."
559,Colorful Graffiti,You may discard as many Basic Energy cards as you like from your hand. This attack does 40 damage for each type of Basic Energy you discarded in this way.
560,Delivery Pocket,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck."
561,Dark Edge,Discard an Energy from this Pokémon.
562,Accelerate,"If your opponent's Pokémon is Knocked Out by damage from this attack, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon."
563,Spinning Bird,Discard 2 Energy from this Pokémon.
565,Psy Bolt,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed."
566,Headbang,
567,Salt Cannon,Flip 3 coins. This attack does 60 damage for each heads.
568,Land Scoop,Put 2 damage counters on 1 of your opponent's Benched Pokémon.
569,Find a Home,"Search your deck for a Stadium card, reveal it, and put it into your hand. Then, shuffle your deck."
574,Needle Bone,"Flip a coin. If tails, during your next turn, this Pokémon can't attack."
575,Rout,This attack does 30 more damage for each of your opponent's Benched Pokémon.
576,Dread Mountain,Discard the top 4 cards of your deck.
580,Comeuppance,"During your opponent's next turn, if this Pokémon is damaged by an attack (even if it is Knocked Out), put damage counters on the Attacking Pokémon equal to the damage done to this Pokémon."
582,Berry Search,Put a Basic Energy card from your discard pile into your hand.
584,Shoot Through,This attack also does 30 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
585,Covert Flight,"During your opponent's next turn, prevent all damage done to this Pokémon by attacks from Basic Pokémon."
586,Dominating Echo,"During your opponent's next turn, they can't play any Special Energy or Stadium cards from their hand."
588,Dig Away Flash,Your opponent's Active Pokémon is now Paralyzed. Shuffle this Pokémon and all attached cards into your deck.
590,Yawn,Your opponent's Active Pokémon is now Asleep.
591,Confront,
592,Sharp Claws,"Flip a coin. If heads, this attack does 60 more damage."
593,Slacker's Headstrike,This Pokémon is now Asleep.
600,Either Face,Choose a player. That player shuffles their hand into their deck and draws 4 cards.
601,Power Beam,
602,Send Back,Switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)
605,Attach,
608,Gnaw Relentlessly,Put 1 damage counter on each of your opponent's Pokémon for each of your Maushold in play.
610,Motivate,Attach up to 2 Basic Energy cards from your discard pile to 1 of your Benched Pokémon.
694,Angry Grudge,Put up to 12 damage counters on this Pokémon. This attack does 20 damage for each damage counter you placed in this way.
695,Seismic Toss,
705,Big Hammer,This attack does 30 damage for each card in your hand.
723,Extreme Current,Discard an Energy from this Pokémon.
724,Low Sweep,
725,Aura Sphere,This attack also does 50 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
727,Thunderstrike Tail,You may discard 2 Energy from this Pokémon to have this attack do 100 more damage.
728,Power Run,"Search your deck for a Basic Energy card and attach it to this Pokémon. Then, shuffle your deck."
729,Full Throttle,"During your next turn, this Pokémon can't attack."
737,Smithereen Smash,"Flip a coin. If heads, discard an Energy from your opponent's Active Pokémon."
738,Adventuring Together,This attack does 10 more damage for each of your Benched Pokémon.
744,Lunge,"Flip a coin. If tails, this attack does nothing."
745,Inviting Scent,Switch in 1 of your opponent's Benched Pokémon to the Active Spot.
747,Feelin' Fine,Draw a card.
749,Branch Poke,
750,Aromatherapy,Heal 30 damage from each of your Pokémon.
752,Heat Tackle,This Pokémon also does 20 damage to itself.
753,Eruption,Discard the top card of each player's deck. This attack does 100 more damage for each Energy card discarded in this way.
754,Steaming Stomp,
755,Strafe,You may switch this Pokémon with 1 of your Benched Pokémon.
756,Victory Flame,"During your next turn, this Pokémon can't attack."
757,Damage Counterpunch,"If this Pokémon has any damage counters on it, this attack does 60 more damage."
759,Agility,"Flip a coin. If heads, during your opponent's next turn, prevent all damage from and effects of attacks done to this Pokémon."
760,Cut,
761,Enticing Pattern,"Search your deck for a Basic Grass Pokémon and put it onto your Bench. Then, shuffle your deck."
763,Double Headbutt,Flip 2 coins. This attack does 50 damage for each heads.
764,Spicy Headbutt,This attack's damage isn't affected by Resistance.
765,Hot Magma,Your opponent's Active Pokémon is now Burned.
768,Share,Heal 20 damage from 1 of your Benched Pokémon.
770,Sleep Powder,Your opponent's Active Pokémon is now Asleep.
771,Powerful Dance,Flip a coin for each Energy attached to this Pokémon. This attack does 90 damage for each heads.
772,Berry Scent,"Search your deck for a Basic Pokémon and put it onto your Bench. Then, shuffle your deck."
774,Panic-Prompting Pattern,"Flip a coin until you get tails. For each heads, discard a random card from your opponent's hand."
776,Dangerous Spores,"Flip a coin. If heads, your opponent's Active Pokémon is now Paralyzed and Poisoned."
777,Lock Up,"During your opponent's next turn, the Defending Pokémon can't retreat."
