id,cardId,name,supertype,subtypes,hp,types,evolvesFrom,weaknesses,resistances,evolvesTo,retreatCost,convertedRetreatCost,flavorText,artist,rarity,nationalPokedexNumbers,regulationMark,imagesSmall,imagesLarge,rules,number,setId
15,sv1-4,Breloom,Pokémon,"[""Stage 1""]",110,"[""Grass""]",Shroomish,"[""Fire""]",,,"[""Colorless""]",1,It scatters poisonous spores and throws powerful punches while its foe is hampered by inhaled spores.,Ryuta Fuse,Uncommon,[286],G,/card-images/sv1-4_small.webp,/card-images/sv1-4_large.webp,,4,1
16,sv1-7,Tropius,Pokémon,"[""Basic""]",100,"[""Grass""]",,"[""Fire""]",,,"[""Colorless""]",1,It lives in tropical jungles. The bunch of fruit around its neck is delicious. The fruit grows twice a year.,aoki,Common,[357],G,/card-images/sv1-7_small.webp,/card-images/sv1-7_large.webp,,7,1
17,sv1-10,Vivillon,Pokémon,"[""Stage 2""]",120,"[""Grass""]",Spewpa,"[""Fire""]",,,"[""Colorless""]",1,"This Pokémon was born in a land where flowers bloom. It scatters colorful, toxic scales from its wings during battle.",Atsuko Nishida,Uncommon,[666],G,/card-images/sv1-10_small.webp,/card-images/sv1-10_large.webp,,10,1
18,sv1-11,Skiddo,Pokémon,"[""Basic""]",60,"[""Grass""]",,"[""Fire""]",,,"[""Colorless""]",1,"Until recently, people living in the mountains would ride on the back of these Pokémon to traverse the mountain paths.",Tika Matsuno,Common,[672],G,/card-images/sv1-11_small.webp,/card-images/sv1-11_large.webp,,11,1
19,sv1-14,Floragato,Pokémon,"[""Stage 1""]",90,"[""Grass""]",Sprigatito,"[""Fire""]",,,"[""Colorless""]",1,"Floragato deftly wields the vine hidden beneath its long fur, slamming the hard flower bud against its opponents.",Kouki Saitou,Uncommon,[907],G,/card-images/sv1-14_small.webp,/card-images/sv1-14_large.webp,,14,1
20,sv1-26,Toedscruel,Pokémon,"[""Stage 1""]",120,"[""Grass""]",Toedscool,"[""Fire""]",,,"[""Colorless"",""Colorless""]",2,"It coils its 10 tentacles around prey and sucks out their nutrients, causing the prey pain. The folds along the rim of its head are a popular delicacy.",nagimiso,Uncommon,[949],G,/card-images/sv1-26_small.webp,/card-images/sv1-26_large.webp,,26,1
21,sv1-3,Shroomish,Pokémon,"[""Basic""]",60,"[""Grass""]",,"[""Fire""]",,,"[""Colorless""]",1,It prefers damp places. By day it remains still in the forest shade. It releases toxic powder from its head.,kurumitsu,Common,[285],G,/card-images/sv1-3_small.webp,/card-images/sv1-3_large.webp,,3,1
22,sv1-5,Cacnea,Pokémon,"[""Basic""]",60,"[""Grass""]",,"[""Fire""]",,,"[""Colorless""]",1,"It prefers harsh environments, such as deserts. It can survive for 30 days on water stored in its body.",Tika Matsuno,Common,[331],G,/card-images/sv1-5_small.webp,/card-images/sv1-5_large.webp,,5,1
23,sv1-9,Spewpa,Pokémon,"[""Stage 1""]",70,"[""Grass""]",Scatterbug,"[""Fire""]",,,"[""Colorless"",""Colorless"",""Colorless""]",3,"Spewpa doesn't live in a fixed location. It roams where it pleases across the fields and mountains, building up the energy it needs to evolve.",Kagemaru Himeno,Common,[665],G,/card-images/sv1-9_small.webp,/card-images/sv1-9_large.webp,,9,1
24,sv1-17,Tarountula,Pokémon,"[""Basic""]",40,"[""Grass""]",,"[""Fire""]",,,"[""Colorless""]",1,The thread it secretes from its rear is as strong as wire. The secret behind the thread's strength is the topic of ongoing research.,Pani Kobayashi,Common,[917],G,/card-images/sv1-17_small.webp,/card-images/sv1-17_large.webp,,17,1
25,sv1-22,Dolliv,Pokémon,"[""Stage 1""]",90,"[""Grass""]",Smoliv,"[""Fire""]",,,"[""Colorless""]",1,"Dolliv shares its tasty, fresh-scented oil with others. This species has coexisted with humans since times long gone.",Mina Nakai,Common,[929],G,/card-images/sv1-22_small.webp,/card-images/sv1-22_large.webp,,22,1
26,sv1-25,Toedscool,Pokémon,"[""Basic""]",60,"[""Grass""]",,"[""Fire""]",,,"[""Colorless"",""Colorless""]",2,"Though it looks like Tentacool, Toedscool is a completely different species. Its legs may be thin, but it can run at a speed of 30 mph.",Tika Matsuno,Common,[948],G,/card-images/sv1-25_small.webp,/card-images/sv1-25_large.webp,,25,1
27,sv1-45,Gyarados ex,Pokémon,"[""Stage 1"",""Tera"",""ex""]",300,"[""Water""]",Magikarp,"[""Lightning""]",,,"[""Colorless"",""Colorless"",""Colorless"",""Colorless""]",4,"An underpowered, pathetic Pokémon. It may jump high on rare occasions but never more than seven feet.",5ban Graphics,Double Rare,[130],G,/card-images/sv1-45_small.webp,/card-images/sv1-45_large.webp,"[""Tera: As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's)."",""Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.""]",45,1
28,sv1-29,Scovillain,Pokémon,"[""Stage 1""]",110,"[""Grass""]",Capsakid,"[""Fire""]",,,"[""Colorless""]",1,"The green head has turned vicious due to the spicy chemicals stimulating its brain. Once it goes on a rampage, there is no stopping it.",KEIICHIRO ITO,Uncommon,[952],G,/card-images/sv1-29_small.webp,/card-images/sv1-29_large.webp,,29,1
29,sv1-51,Bruxish,Pokémon,"[""Basic""]",100,"[""Water""]",,"[""Lightning""]",,,"[""Colorless""]",1,It grinds its teeth with great force to stimulate its brain. It fires the psychic energy created by this process from the protuberance on its head.,kurumitsu,Common,[779],G,/card-images/sv1-51_small.webp,/card-images/sv1-51_large.webp,,51,1
30,sv1-56,Wiglett,Pokémon,"[""Basic""]",60,"[""Water""]",,"[""Lightning""]",,,"[""Colorless""]",1,This Pokémon can pick up the scent of a Veluza just over 65 feet away and will hide itself in the sand.,Tika Matsuno,Common,[960],G,/card-images/sv1-56_small.webp,/card-images/sv1-56_large.webp,,56,1
31,sv1-37,Crocalor,Pokémon,"[""Stage 1""]",100,"[""Fire""]",Fuecoco,"[""Water""]",,,"[""Colorless"",""Colorless"",""Colorless""]",3,The valve in Crocalor's flame sac is closely connected to its vocal cords. This Pokémon utters a guttural cry as it spews flames every which way.,kantaro,Uncommon,[910],G,/card-images/sv1-37_small.webp,/card-images/sv1-37_large.webp,,37,1
32,sv1-57,Wugtrio,Pokémon,"[""Stage 1""]",90,"[""Water""]",Wiglett,"[""Lightning""]",,,"[""Colorless"",""Colorless""]",2,"It has a vicious temperament, contrary to what its appearance may suggest. It wraps its long bodies around prey, then drags the prey into its den.",KIYOTAKA OSHIYAMA,Uncommon,[961],G,/card-images/sv1-57_small.webp,/card-images/sv1-57_large.webp,,57,1
33,sv1-38,Skeledirge,Pokémon,"[""Stage 2""]",180,"[""Fire""]",Crocalor,"[""Water""]",,,"[""Colorless"",""Colorless"",""Colorless""]",3,"Skeledirge's gentle singing soothes the souls of all that hear it. It burns its enemies to a crisp with flames of over 5,400 degrees Fahrenheit.",nagimiso,Rare,[911],G,/card-images/sv1-38_small.webp,/card-images/sv1-38_large.webp,,38,1
34,sv1-59,Cetoddle,Pokémon,"[""Basic""]",100,"[""Water""]",,"[""Metal""]",,,"[""Colorless"",""Colorless"",""Colorless""]",3,It lives in frigid regions in pods of five or so individuals. It loves the minerals found in snow and ice.,Kouki Saitou,Common,[974],G,/card-images/sv1-59_small.webp,/card-images/sv1-59_large.webp,,59,1
35,sv1-40,Charcadet,Pokémon,"[""Basic""]",70,"[""Fire""]",,"[""Water""]",,,"[""Colorless""]",1,"Burnt charcoal came to life and became a Pokémon. Possessing a fiery fighting spirit, Charcadet will battle even tough opponents.",nagimiso,Common,[935],G,/card-images/sv1-40_small.webp,/card-images/sv1-40_large.webp,,40,1
36,sv1-46,Buizel,Pokémon,"[""Basic""]",70,"[""Water""]",,"[""Lightning""]",,,"[""Colorless""]",1,It spins its two tails like a screw to propel itself through water. The tails also slice clinging seaweed.,Mizue,Common,[418],G,/card-images/sv1-46_small.webp,/card-images/sv1-46_large.webp,,46,1
37,sv1-60,Cetitan,Pokémon,"[""Stage 1""]",180,"[""Water""]",Cetoddle,"[""Metal""]",,,"[""Colorless"",""Colorless"",""Colorless""]",3,"Ice energy builds up in the horn on its upper jaw, causing the horn to reach cryogenic temperatures that freeze its surroundings.",Anesaki Dynamic,Uncommon,[975],G,/card-images/sv1-60_small.webp,/card-images/sv1-60_large.webp,,60,1
38,sv1-49,Clauncher,Pokémon,"[""Basic""]",70,"[""Water""]",,"[""Lightning""]",,,"[""Colorless""]",1,"Clauncher's claws will regrow if they fall off. The meat inside the claws is edible, but it has a distinct flavor that doesn't appeal to all tastes.",miki kudo,Common,[692],G,/card-images/sv1-49_small.webp,/card-images/sv1-49_large.webp,,49,1
39,sv1-50,Clawitzer,Pokémon,"[""Stage 1""]",120,"[""Water""]",Clauncher,"[""Lightning""]",,,"[""Colorless"",""Colorless""]",2,The cannonballs of seawater that Clawitzer launches from its claw are powerful enough to punch through tanker hulls.,Souichirou Gunjima,Common,[693],G,/card-images/sv1-50_small.webp,/card-images/sv1-50_large.webp,,50,1
40,sv1-53,Quaxwell,Pokémon,"[""Stage 1""]",100,"[""Water""]",Quaxly,"[""Lightning""]",,,"[""Colorless""]",1,"These Pokémon constantly run through shallow waters to train their legs, then compete with each other to see which of them kicks most gracefully.",kirisAki,Uncommon,[913],G,/card-images/sv1-53_small.webp,/card-images/sv1-53_large.webp,,53,1
41,sv1-54,Quaquaval,Pokémon,"[""Stage 2""]",170,"[""Water""]",Quaxwell,"[""Lightning""]",,,"[""Colorless"",""Colorless""]",2,A single kick from a Quaquaval can send a truck rolling. This Pokémon uses its powerful legs to perform striking dances from far-off lands.,Kouki Saitou,Rare,[914],G,/card-images/sv1-54_small.webp,/card-images/sv1-54_large.webp,,54,1
42,sv1-55,Wiglett,Pokémon,"[""Basic""]",50,"[""Water""]",,"[""Lightning""]",,,"[""Colorless""]",1,This Pokémon can pick up the scent of a Veluza just over 65 feet away and will hide itself in the sand.,Shin Nagasawa,Common,[960],G,/card-images/sv1-55_small.webp,/card-images/sv1-55_large.webp,,55,1
43,sv1-27,Capsakid,Pokémon,"[""Basic""]",60,"[""Grass""]",,"[""Fire""]",,,"[""Colorless""]",1,Traditional Paldean dishes can be extremely spicy because they include the shed front teeth of Capsakid among their ingredients.,Kouki Saitou,Common,[951],G,/card-images/sv1-27_small.webp,/card-images/sv1-27_large.webp,,27,1
44,sv1-30,Growlithe,Pokémon,"[""Basic""]",70,"[""Fire""]",,"[""Water""]",,,"[""Colorless"",""Colorless""]",2,It's very friendly and faithful to people. It will try to repel enemies by barking and biting.,kawayoo,Common,[58],G,/card-images/sv1-30_small.webp,/card-images/sv1-30_large.webp,,30,1
45,sv1-28,Capsakid,Pokémon,"[""Basic""]",70,"[""Grass""]",,"[""Fire""]",,,"[""Colorless""]",1,Traditional Paldean dishes can be extremely spicy because they include the shed front teeth of Capsakid among their ingredients.,GIDORA,Common,[951],G,/card-images/sv1-28_small.webp,/card-images/sv1-28_large.webp,,28,1
46,sv1-32,Arcanine ex,Pokémon,"[""Stage 1"",""Tera"",""ex""]",280,"[""Fire""]",Growlithe,"[""Water""]",,,"[""Colorless"",""Colorless"",""Colorless""]",3,It's very friendly and faithful to people. It will try to repel enemies by barking and biting.,5ban Graphics,Double Rare,[59],G,/card-images/sv1-32_small.webp,/card-images/sv1-32_large.webp,"[""Tera: As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent's)."",""Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.""]",32,1
47,sv1-35,Torkoal,Pokémon,"[""Basic""]",130,"[""Fire""]",,"[""Water""]",,,"[""Colorless"",""Colorless"",""Colorless""]",3,It burns coal inside its shell for energy. It blows out black soot if it is endangered.,Kurata So,Uncommon,[324],G,/card-images/sv1-35_small.webp,/card-images/sv1-35_large.webp,,35,1
48,sv1-36,Fuecoco,Pokémon,"[""Basic""]",80,"[""Fire""]",,"[""Water""]",,,"[""Colorless"",""Colorless""]",2,"Its flame sac is small, so energy is always leaking out. This energy is released from the dent atop Fuecoco's head and flickers to and fro.",Akira Komayama,Common,[909],G,/card-images/sv1-36_small.webp,/card-images/sv1-36_large.webp,,36,1
49,sv1-39,Charcadet,Pokémon,"[""Basic""]",60,"[""Fire""]",,"[""Water""]",,,"[""Colorless""]",1,"Burnt charcoal came to life and became a Pokémon. Possessing a fiery fighting spirit, Charcadet will battle even tough opponents.",Souichirou Gunjima,Common,[935],G,/card-images/sv1-39_small.webp,/card-images/sv1-39_large.webp,,39,1
50,sv1-43,Slowbro,Pokémon,"[""Stage 1""]",100,"[""Water""]",Slowpoke,"[""Lightning""]",,,"[""Colorless"",""Colorless"",""Colorless""]",3,"If the tail-biting Shellder is thrown off in a harsh battle, this Pokémon reverts to being an ordinary Slowpoke.",Shinji Kanda,Rare,[80],G,/card-images/sv1-43_small.webp,/card-images/sv1-43_large.webp,,43,1
51,sv1-47,Floatzel,Pokémon,"[""Stage 1""]",120,"[""Water""]",Buizel,"[""Lightning""]",,,"[""Colorless""]",1,"With its flotation sac inflated, it can carry people on its back. It deflates the sac before it dives.",Gemi,Uncommon,[419],G,/card-images/sv1-47_small.webp,/card-images/sv1-47_large.webp,,47,1
52,sv1-48,Alomomola,Pokémon,"[""Basic""]",120,"[""Water""]",,"[""Lightning""]",,,"[""Colorless"",""Colorless""]",2,It gently holds injured and weak Pokémon in its fins. Its special membrane heals their wounds.,Shinji Kanda,Common,[594],G,/card-images/sv1-48_small.webp,/card-images/sv1-48_large.webp,,48,1
53,sv1-31,Growlithe,Pokémon,"[""Basic""]",90,"[""Fire""]",,"[""Water""]",,,"[""Colorless"",""Colorless"",""Colorless""]",3,It's very friendly and faithful to people. It will try to repel enemies by barking and biting.,Tika Matsuno,Common,[58],G,/card-images/sv1-31_small.webp,/card-images/sv1-31_large.webp,,31,1
54,sv1-33,Houndour,Pokémon,"[""Basic""]",70,"[""Fire""]",,"[""Water""]",,,"[""Colorless""]",1,It uses different kinds of cries for communicating with others of its kind and for pursuing its prey.,nagimiso,Common,[228],G,/card-images/sv1-33_small.webp,/card-images/sv1-33_large.webp,,33,1
55,sv1-34,Houndoom,Pokémon,"[""Stage 1""]",120,"[""Fire""]",Houndour,"[""Water""]",,,"[""Colorless"",""Colorless""]",2,"Upon hearing its eerie howls, other Pokémon get the shivers and head straight back to their nests.",hncl,Common,[229],G,/card-images/sv1-34_small.webp,/card-images/sv1-34_large.webp,,34,1
56,sv1-41,Armarouge,Pokémon,"[""Stage 1""]",130,"[""Fire""]",Charcadet,"[""Water""]",,,"[""Colorless"",""Colorless""]",2,Armarouge evolved through the use of a set of armor that belonged to a distinguished warrior. This Pokémon is incredibly loyal.,AKIRA EGAWA,Rare,[936],G,/card-images/sv1-41_small.webp,/card-images/sv1-41_large.webp,,41,1
57,sv1-42,Slowpoke,Pokémon,"[""Basic""]",70,"[""Water""]",,"[""Lightning""]",,,"[""Colorless"",""Colorless""]",2,"It is always vacantly lost in thought, but no one knows what it is thinking about. It is good at fishing with its tail.",Narumi Sato,Common,[79],G,/card-images/sv1-42_small.webp,/card-images/sv1-42_large.webp,,42,1
58,sv1-44,Magikarp,Pokémon,"[""Basic""]",30,"[""Water""]",,"[""Lightning""]",,,"[""Colorless""]",1,"An underpowered, pathetic Pokémon. It may jump high on rare occasions but never more than seven feet.",KIYOTAKA OSHIYAMA,Common,[129],G,/card-images/sv1-44_small.webp,/card-images/sv1-44_large.webp,,44,1
59,sv1-52,Quaxly,Pokémon,"[""Basic""]",70,"[""Water""]",,"[""Lightning""]",,,"[""Colorless""]",1,This Pokémon migrated to Paldea from distant lands long ago. The gel secreted by its feathers repels water and grime.,Mizue,Common,[912],G,/card-images/sv1-52_small.webp,/card-images/sv1-52_large.webp,,52,1
60,sv1-58,Cetoddle,Pokémon,"[""Basic""]",80,"[""Water""]",,"[""Metal""]",,,"[""Colorless"",""Colorless""]",2,It lives in frigid regions in pods of five or so individuals. It loves the minerals found in snow and ice.,Shin Nagasawa,Common,[974],G,/card-images/sv1-58_small.webp,/card-images/sv1-58_large.webp,,58,1
61,sv1-61,Dondozo,Pokémon,"[""Basic""]",160,"[""Water""]",,"[""Lightning""]",,,"[""Colorless"",""Colorless"",""Colorless"",""Colorless""]",4,"This Pokémon is a glutton, but it's bad at getting food. It teams up with a Tatsugiri to catch prey.",Souichirou Gunjima,Rare,[977],G,/card-images/sv1-61_small.webp,/card-images/sv1-61_large.webp,,61,1
62,sv1-63,Magnemite,Pokémon,"[""Basic""]",60,"[""Lightning""]",,"[""Fighting""]",,,"[""Colorless""]",1,It moves while constantly hovering. It discharges electromagnetic waves and so on from the units at its sides.,KIYOTAKA OSHIYAMA,Common,[81],G,/card-images/sv1-63_small.webp,/card-images/sv1-63_large.webp,,63,1
63,sv1-64,Magneton,Pokémon,"[""Stage 1""]",90,"[""Lightning""]",Magnemite,"[""Fighting""]",,,"[""Colorless"",""Colorless""]",2,They're formed by several Magnemite linked together. They frequently appear when sunspots flare up.,Shiburingaru,Common,[82],G,/card-images/sv1-64_small.webp,/card-images/sv1-64_large.webp,,64,1
64,sv1-62,Tatsugiri,Pokémon,"[""Basic""]",70,"[""Water""]",,"[""Lightning""]",,,"[""Colorless""]",1,This is a small dragon Pokémon. It lives inside the mouth of Dondozo to protect itself from enemies on the outside.,OKACHEKE,Uncommon,[978],G,/card-images/sv1-62_small.webp,/card-images/sv1-62_large.webp,,62,1
65,sv1-69,Rotom,Pokémon,"[""Basic""]",60,"[""Lightning""]",,"[""Fighting""]",,,"[""Colorless""]",1,"Research continues on this Pokémon, which could be the power source of a unique motor.",Nisota Niso,Common,[479],G,/card-images/sv1-69_small.webp,/card-images/sv1-69_large.webp,,69,1
66,sv1-66,Mareep,Pokémon,"[""Basic""]",60,"[""Lightning""]",,"[""Fighting""]",,,"[""Colorless""]",1,"Its fleece grows continually. In the summer, the fleece is fully shed, but it grows back in a week.",Narumi Sato,Common,[179],G,/card-images/sv1-66_small.webp,/card-images/sv1-66_large.webp,,66,1
67,sv1-76,Pawmot,Pokémon,"[""Stage 2""]",130,"[""Lightning""]",Pawmo,"[""Fighting""]",,,,0,Pawmot's fluffy fur acts as a battery. It can store the same amount of electricity as an electric car.,Mizue,Rare,[923],G,/card-images/sv1-76_small.webp,/card-images/sv1-76_large.webp,,76,1
68,sv1-75,Pawmo,Pokémon,"[""Stage 1""]",90,"[""Lightning""]",Pawmi,"[""Fighting""]",,,"[""Colorless""]",1,Pawmo uses a unique fighting technique in which it uses its forepaws to strike foes and zap them with electricity from its paw pads simultaneously.,Saya Tsuruta,Common,[922],G,/card-images/sv1-75_small.webp,/card-images/sv1-75_large.webp,,75,1
69,sv1-80,Miraidon,Pokémon,"[""Basic""]",120,"[""Lightning""]",,"[""Fighting""]",,,"[""Colorless""]",1,"Much remains unknown about this creature. It resembles Cyclizar, but it is far more ruthless and powerful.",Kouki Saitou,Rare,[1008],G,/card-images/sv1-80_small.webp,/card-images/sv1-80_large.webp,,80,1
70,sv1-77,Wattrel,Pokémon,"[""Basic""]",50,"[""Lightning""]",,"[""Lightning""]","[""Fighting""]",,"[""Colorless""]",1,"When its wings catch the wind, the bones within produce electricity. This Pokémon dives into the ocean, catching prey by electrocuting them.",Saya Tsuruta,Common,[940],G,/card-images/sv1-77_small.webp,/card-images/sv1-77_large.webp,,77,1
71,sv1-81,Miraidon ex,Pokémon,"[""Basic"",""ex""]",220,"[""Lightning""]",,"[""Fighting""]",,,"[""Colorless""]",1,"Much remains unknown about this creature. It resembles Cyclizar, but it is far more ruthless and powerful.",5ban Graphics,Double Rare,[1008],G,/card-images/sv1-81_small.webp,/card-images/sv1-81_large.webp,"[""Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.""]",81,1
72,sv1-78,Wattrel,Pokémon,"[""Basic""]",60,"[""Lightning""]",,"[""Lightning""]","[""Fighting""]",,"[""Colorless""]",1,"When its wings catch the wind, the bones within produce electricity. This Pokémon dives into the ocean, catching prey by electrocuting them.",Shin Nagasawa,Common,[940],G,/card-images/sv1-78_small.webp,/card-images/sv1-78_large.webp,,78,1
73,sv1-83,Hypno,Pokémon,"[""Stage 1""]",110,"[""Psychic""]",Drowzee,"[""Darkness""]","[""Fighting""]",,"[""Colorless"",""Colorless""]",2,"Always holding a pendulum that it swings at a steady rhythm, it causes drowsiness in anyone nearby.",Toshinao Aoki,Uncommon,[97],G,/card-images/sv1-83_small.webp,/card-images/sv1-83_large.webp,,83,1
74,sv1-79,Kilowattrel,Pokémon,"[""Stage 1""]",120,"[""Lightning""]",Wattrel,"[""Lightning""]","[""Fighting""]",,"[""Colorless""]",1,"Kilowattrel inflates its throat sac to amplify its electricity. By riding the wind, this Pokémon can fly over 430 miles in a day.",Kouki Saitou,Uncommon,[941],G,/card-images/sv1-79_small.webp,/card-images/sv1-79_large.webp,,79,1
75,sv1-86,Gardevoir ex,Pokémon,"[""Stage 2"",""ex""]",310,"[""Psychic""]",Kirlia,"[""Darkness""]","[""Fighting""]",,"[""Colorless"",""Colorless""]",2,It has a psychic power that enables it to distort the space around it and see into the future.,N-DESIGN Inc.,Double Rare,[282],G,/card-images/sv1-86_small.webp,/card-images/sv1-86_large.webp,"[""Pokémon ex rule: When your Pokémon ex is Knocked Out, your opponent takes 2 Prize cards.""]",86,1
76,sv1-94,Dedenne,Pokémon,"[""Basic""]",70,"[""Psychic""]",,"[""Metal""]",,,"[""Colorless""]",1,"It's small and its electricity-generating organ is not fully developed, so it uses its tail to absorb electricity from people's homes and charge itself.",zig,Common,[702],G,/card-images/sv1-94_small.webp,/card-images/sv1-94_large.webp,,94,1
77,sv1-82,Drowzee,Pokémon,"[""Basic""]",70,"[""Psychic""]",,"[""Darkness""]","[""Fighting""]",,"[""Colorless""]",1,"When it twitches its nose, it can tell where someone is sleeping and what that person is dreaming about.",OKACHEKE,Common,[96],G,/card-images/sv1-82_small.webp,/card-images/sv1-82_large.webp,,82,1
78,sv1-96,Klefki,Pokémon,"[""Basic""]",70,"[""Psychic""]",,"[""Metal""]",,,"[""Colorless""]",1,"In the past, noble families entrusted their vault keys to a Klefki. They passed the Klefki down through the generations, taking good care of it.",GOSSAN,Rare,[707],G,/card-images/sv1-96_small.webp,/card-images/sv1-96_large.webp,,96,1
79,sv1-84,Ralts,Pokémon,"[""Basic""]",70,"[""Psychic""]",,"[""Darkness""]","[""Fighting""]",,"[""Colorless""]",1,The horns on its head provide a strong power that enables it to sense people's emotions.,Tika Matsuno,Common,[280],G,/card-images/sv1-84_small.webp,/card-images/sv1-84_large.webp,,84,1
80,sv1-97,Fidough,Pokémon,"[""Basic""]",50,"[""Psychic""]",,"[""Metal""]",,,"[""Colorless""]",1,This Pokémon is smooth and moist to the touch. Yeast in Fidough's breath induces fermentation in the Pokémon's vicinity.,Mizue,Common,[926],G,/card-images/sv1-97_small.webp,/card-images/sv1-97_large.webp,,97,1
